City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,Pandan,-3.2874,104.193,22.81,99,99,0.85,ID,2024-11-06
138,Costa Calma,28.1608,-14.2301,21.36,81,16,3.9,ES,2024-11-06
139,Ketchikan,55.3431,-131.6467,11.26,93,100,6.69,US,2024-11-06
140,Mahdia,35.457,1.7415,13.46,48,46,2.81,DZ,2024-11-06
141,Bawiti,28.3518,28.863,17.78,49,0,4.52,EG,2024-11-06
142,Ust-Nera,64.5664,143.2378,-29.02,99,56,1.78,RU,2024-11-06
143,Antri,20.6665,76.1787,21.43,56,7,1.34,IN,2024-11-06
144,Petauke,-14.2502,31.3298,26.3,37,64,3.35,ZM,2024-11-06
145,Jackson,32.3087,-90.1983,29.01,70,75,3.6,US,2024-11-06
146,Shaowu City,27.2021,117.4768,7.17,84,0,0.55,CN,2024-11-06
147,Jiayuguan,39.7722,98.2885,7.9,24,75,4.34,CN,2024-11-06
148,Tottori,35.4944,134.2219,11.42,75,100,6.99,JP,2024-11-06
149,Wanning,18.7961,110.3873,22.38,89,100,3.67,CN,2024-11-06
150,Vadsø,70.2267,29.7828,-0.89,87,75,3.6,NO,2024-11-06
151,Gqeberha,-33.9617,25.6208,13.42,82,40,1.03,ZA,2024-11-06
152,Holualoa CDP,19.6238,-155.9536,25.77,81,20,4.63,US,2024-11-06
153,Zemio,5.0248,25.1293,21.82,67,61,0.95,CF,2024-11-06
154,Tarko-Sale,64.922,77.7795,-16.25,98,31,3.15,RU,2024-11-06
155,Buala,-8.1455,159.593,27.89,78,100,1.96,SB,2024-11-06
156,Jinzhou,41.1085,121.1194,2.83,91,0,1.04,CN,2024-11-06
157,Thetford Mines,46.0913,-71.3013,12.06,88,96,4.81,CA,2024-11-06
158,Chonchi,-42.624,-73.7724,13.62,49,58,2.07,CL,2024-11-06
159,Ανατολή,39.6389,20.8638,4.83,93,59,1.03,GR,2024-11-06
160,Putian,25.4557,119.0029,11.1,77,0,2.8,CN,2024-11-06
161,Kavaratti,10.5672,72.6395,27.83,74,7,3.38,IN,2024-11-06
162,Cofradia,-15.3006,-73.7505,17.85,27,75,6.0,PE,2024-11-06
163,Weno,7.4401,151.857,26.47,83,75,1.54,FM,2024-11-06
164,Geraldton,-28.7704,114.6147,9.09,87,1,1.54,AU,2024-11-06
165,Luganville,-15.5121,167.1784,26.4,81,89,5.01,VU,2024-11-06
166,Kingston,17.9712,-76.7928,30.45,74,92,3.24,JM,2024-11-06
